id,lat,lng,address,building_name,capacity,is_closed,notes,shelter_type,shelter_type_he,area_sqm,status,type
8698a2aa-a6d8-4e54-98a8-c2f333667fe8,32.798357,35.6830281,Unknown address,,0,False,,public_shelter,מקלט ציבורי,0,פתוח,מקלט ציבורי
869982c2-ed92-4896-bccd-9649203ea888,31.7785799,35.3005113,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
869bda79-6238-4cdd-827c-6ed12c5e1c22,31.8489089,35.0383013,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86a0f293-7b3a-46d6-8831-12d4a5698550,32.679173,35.2057138,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86a4a715-242c-48ce-9c51-5815b96ad337,31.7908032,35.224321,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86a58452-41d6-405e-a89d-461c59c206f0,32.1449269,34.8401472,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86a59604-c58a-4b0c-9b92-acacc68e4b05,33.057803,35.2335645,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86a7d41c-3730-40ed-8787-2641f1ce074f,31.6227645,34.5771528,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86a7f28c-f131-48fc-9b37-3f9030044c45,32.9766689,35.5413806,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86aaf832-ba8b-4771-ae2f-8c2dbbe489ca,31.8199422,34.7223717,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86abeb93-99fb-4fba-aedc-48ffa2846805,32.7497879,35.2737412,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86abf6c1-423f-4d4a-a938-1de1accc8176,31.8986648,34.8002583,"31.89873, 34.80019",,0,False,Access: public,public_shelter,מקלט,0,פתוח,public_shelter
86aefeb0-eae3-40e4-b369-88a2a210fad8,33.0541572,35.4940076,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86af31c7-5911-464b-a957-a80b3405ec9f,32.8466923,35.7948579,Unknown address,,0,False,,public_shelter,מקלט ציבורי,0,פתוח,מקלט ציבורי
86be3ed4-45f7-4371-96bc-bed35522e51d,31.7706736,35.2950434,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86c1b045-5790-44b8-af1c-dc75c63c5268,32.6904799,35.5760721,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86c2923b-de10-4a90-84ee-a40042eada69,31.764784,35.225602,המעבדה/דרך חברון,המעבדה/דרך חברון,0,False,Access: public,public_shelter,מקלט,0,פתוח,public_shelter
86c4e60c-adbf-413b-a303-4d06f0afc64c,32.4201787,35.5292815,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86d0182d-8398-46a9-829d-33a8808f31dd,32.34527,34.8979401,שער הכפר/הפרסה,שער הכפר/הפרסה,0,False,Access: public,public_shelter,מקלט,0,פתוח,public_shelter
86d1001d-5269-43a0-af51-c9f154af3fa7,32.3545557,34.9319198,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86d22d61-733a-4376-8c95-8d4a4b4382e2,32.5564048,35.0780498,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86d280f0-e606-45ee-af64-25910d8446eb,32.7199425,35.393023,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86d342af-2025-4a0e-a170-6656512315cf,31.2688415,35.2120495,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86d98eb2-9025-4923-b4ba-1df5785ff95a,32.1579838,34.837956,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86e13f9c-bf0f-49f7-a843-68a8e57d1655,33.0942989,35.7969377,Unknown address,,0,False,,public_shelter,מקלט ציבורי,0,פתוח,מקלט ציבורי
86e3e2d4-eb8e-4419-be1f-9383cf75036d,29.9440628,35.0646305,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86eb849f-ef63-4b52-9051-678b96a6607d,32.9896463,35.6883171,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86edac7e-69f0-4fc3-b563-c6760115dd56,32.5551846,35.1991413,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86eedc52-ddd4-4a6b-88fb-6ed240141ad6,32.1091878,35.0330455,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86f9abd3-b680-44bb-87de-28d5facd4acf,31.9762955,34.8876052,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
86facf34-7748-4a86-be71-8d93e691cef0,32.588419,35.0755054,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
870407c7-9966-44d1-913e-ce9a9b018eea,31.6110834,35.102463,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87048799-dd4b-4936-ad69-811c56733717,32.0878104,34.8300828,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87061bf2-f5ef-427a-9577-086ad46b25b0,31.4528007,35.3811862,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8709c60b-4cc2-4977-810a-15bd5f4adeaa,31.2523645,34.8080806,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
870ba8f8-2bba-4ab5-a616-ec3ab6945bc2,32.8896975,35.100993,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
870f19ba-6aac-4a60-99b8-a1163dc5475a,32.0042607,35.1233621,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8712b2ff-9974-411c-9c87-3489acaf93fb,32.9201718,35.2942552,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
871df2d7-ec01-4f0b-9e2f-6818d6f01c17,32.4926221,35.5479532,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8727ce81-5c1f-4cd4-8e6a-3a2adca0d161,31.8015725,34.6528167,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
873e33de-f69e-48bc-8850-a22dc7223222,33.1334704,35.7754754,Unknown address,,0,False,,public_shelter,מקלט ציבורי,0,פתוח,מקלט ציבורי
8745308b-4fe2-431c-88de-2bcb60bc8e25,32.7945109,35.5367983,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8749f6ac-49fd-474b-8501-a3ba627cc252,33.1810209,35.7740873,Unknown address,,0,False,,public_shelter,מקלט ציבורי,0,פתוח,מקלט ציבורי
874a8bb6-dcbb-4727-a0f9-de9d5b70c4d4,30.9839453,34.9350608,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
875ae593-21c6-4f4e-a761-cb133e543517,32.2562758,34.9140184,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
875d6b50-dbdb-400b-a56a-424ac268f29d,33.1423736,35.6489407,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
876d89e5-b8ab-4b3e-b101-f0bfdc8121dc,33.0432484,35.8376913,Unknown address,,0,False,,public_shelter,מקלט ציבורי,0,פתוח,מקלט ציבורי
8771451f-6cb1-48e0-9d78-4a6ec8f9ad91,33.1677839,35.6591518,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
877517c2-ab50-403c-9c3a-98350a3e1463,31.8039532,34.6450907,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87756a3c-411b-4b3e-ab0e-34379fe1c8fb,33.1967884,35.5687969,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8779e625-5660-4b96-8e6f-b776d9e13f42,31.2540936,34.8027577,Unknown address,ג/6,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
877cad83-bbd0-4301-8c3d-3fe95766b1a8,31.789029,35.218838,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8780c03d-d325-4191-8123-954ac8f4daf9,32.4379794,34.9207796,מקלט ציבורי - מקלט 22,מקלט ציבורי - מקלט 22,0,False,Access: public,public_shelter,מקלט,0,פתוח,public_shelter
87817657-9a1e-4f1a-b7e9-9a7b503b0d4f,33.002711,35.0898367,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8783b901-70db-49fb-825b-51c82bc59fd6,31.7759846,34.6775904,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
878598d5-4d37-4bdb-bded-639b257944b4,32.4466352,35.4754787,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8790f20d-3f7c-4007-8d63-ff48df9ba5ab,33.0057189,35.6024426,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8798d4a0-81fc-4e8d-867a-8f97de78d466,31.5994516,34.7770016,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
8798e65b-1230-4e25-bc0a-bea7387fcd0d,31.905969,34.8694157,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
879a8763-315c-4371-a70b-120ab9e8a95f,32.9079938,35.3911649,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
879b5914-6d31-434a-b5ba-2da9c2747f46,30.8737518,34.7903988,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87a09c04-742a-4edf-be2c-0f1f457c7e41,31.2186085,35.3581777,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87a92e78-4819-4c9b-92bc-b17c18566c51,32.1473307,34.8988729,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87ab18be-4d30-4c9b-9e7f-c7253aa07d65,31.9052032,35.4685804,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87ad0975-27e6-4cde-9b36-21865ca6d01e,31.9086728,35.0360865,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87af420b-dfbf-4509-8331-a095a7f7abe7,32.7353874,35.6530264,Unknown address,,0,False,,public_shelter,מקלט ציבורי,0,פתוח,מקלט ציבורי
87b34ab1-7ec9-4a4d-b9df-2193978347c9,30.9038197,34.3980367,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
87b514df-ff26-4f55-bac8-f7d19bfbf561,33.0878669,35.4760748,Unknown address,,0,False,,public_shelter,מקלט,0,פתוח,public_shelter
